"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-73.58","45.50","MCTAVISH","7024745","2017-01-01","2017","01","01","","0.3","","-4.2","","-2.0","","20.0","","0.0","","","M","","M","1.7","","36","","23","","32",""
"-73.58","45.50","MCTAVISH","7024745","2017-01-02","2017","01","02","","3.7","","-5.3","","-0.8","","18.8","","0.0","","","M","","M","0.4","","34","","","","<31",""
"-73.58","45.50","MCTAVISH","7024745","2017-01-03","2017","01","03","","0.6","","-5.4","","-2.4","","20.4","","0.0","","","M","","M","10.3","","32","","","","<31",""
"-73.58","45.50","MCTAVISH","7024745","2017-01-04","2017","01","04","","2.5","","-4.8","","-1.2","","19.2","","0.0","","","M","","M","13.3","","36","","21","","44",""
"-73.58","45.50","MCTAVISH","7024745","2017-01-05","2017","01","05","","-4.6","","-10.6","","-7.6","","25.6","","0.0","","","M","","M","0.2","","42","","30","","46",""
"-73.58","45.50","MCTAVISH","7024745","2017-01-06","2017","01","06","","-6.7","","-12.8","","-9.8","","27.8","","0.0","","","M","","M","0.3","","40","","","","<31",""
"-73.58","45.50","MCTAVISH","7024745","2017-01-07","2017","01","07","","-9.5","","-15.6","","-12.6","","30.6","","0.0","","","M","","M","0.0","","39","","","","<31",""
"-73.58","45.50","MCTAVISH","7024745","2017-01-08","2017","01","08","","-10.3","","-18.5","","-14.4","","32.4","","0.0","","","M","","M","0.4","","38","","","","<31",""
"-73.58","45.50","MCTAVISH","7024745","2017-01-09","2017","01","09","","-6.9","","-20.0","","-13.5","","31.5","","0.0","","","M","","M","0.0","","38","","","","<31",""
"-73.58","45.50","MCTAVISH","7024745","2017-01-10","2017","01","10","","1.9","","-7.4","","-2.8","","20.8","","0.0","","","M","","M","3.3","","39","","20","","41",""
"-73.58","45.50","MCTAVISH","7024745","2017-01-11","2017","01","11","","5.9","","1.8","","3.9","","14.1","","0.0","","","M","","M","2.7","","40","","21","","48",""
"-73.58","45.50","MCTAVISH","7024745","2017-01-12","2017","01","12","","6.2","","-0.7","","2.8","","15.2","","0.0","","","M","","M","10.5","","34","","","","<31",""
"-73.58","45.50","MCTAVISH","7024745","2017-01-13","2017","01","13","","-0.5","","-15.0","","-7.8","","25.8","","0.0","","","M","","M","0.6","","30","","36","","39",""
"-73.58","45.50","MCTAVISH","7024745","2017-01-14","2017","01","14","","-6.5","","-17.1","","-11.8","","29.8","","0.0","","","M","","M","0.0","","30","","","","<31",""
"-73.58","45.50","MCTAVISH","7024745","2017-01-15","2017","01","15","","-6.6","","-10.3","","-8.5","","26.5","","0.0","","","M","","M","0.2","","30","","","","<31",""
"-73.58","45.50","MCTAVISH","7024745","2017-01-16","2017","01","16","","2.5","","-8.7","","-3.1","","21.1","","0.0","","","M","","M","0.0","","30","","20","","43",""
"-73.58","45.50","MCTAVISH","7024745","2017-01-17","2017","01","17","","-0.2","","-5.9","","-3.1","","21.1","","0.0","","","M","","M","0.5","","30","","","","<31",""
"-73.58","45.50","MCTAVISH","7024745","2017-01-18","2017","01","18","","0.0","","-5.9","","-3.0","","21.0","","0.0","","","M","","M","5.4","","34","","","","<31",""
